,Zipcode,Cluster8Assignment
1317,06251,5
1318,06254,7
1319,06260,6
1320,06263,5
1321,06264,7
1322,06266,6
1323,06269,5
1324,06277,6
1325,06278,6
1326,06279,6
1327,06282,7
1328,06320,5
1329,06331,6
1330,06332,6
1331,06333,7
1332,06335,7
1333,06338,6
1334,06340,5
1335,06349,5
1336,06351,6
1337,06354,6
1338,06355,5
1339,06357,7
1340,06359,7
1341,06360,5
1342,06365,7
1343,06370,6
1344,06371,7
1345,06372,7
1346,06374,6
1347,06375,7
1348,06377,6
1349,06378,7
1350,06379,6
1351,06380,5
1352,06382,6
1353,06383,6
1354,06384,7
1355,06385,7
1356,06390,8
1357,06401,5
1358,06403,7
1359,06405,7
1360,06409,7
1361,06410,7
1362,06412,6
1363,06413,7
1364,06415,7
1365,06416,7
1366,06417,6
1367,06418,5
1368,06419,7
1369,06420,7
1370,06422,7
1371,06423,7
1372,06424,7
1373,06437,7
1374,06438,7
1375,06443,7
1376,06447,7
1377,06450,5
1378,06451,5
1379,06455,7
1380,06457,5
1381,06459,5
1382,06460,7
1383,06461,7
1384,06468,7
1385,06469,7
1386,06470,7
1387,06471,6
1388,06472,7
1389,06473,7
1390,06475,7
1391,06477,7
1392,06478,7
1393,06479,7
1394,06480,7
1395,06482,7
1396,06483,6
1397,06484,7
1398,06488,7
1399,06489,7
1400,06492,5
1401,06498,7
1402,06506,4
1403,06510,4
1404,06511,4
1405,06512,5
1406,06513,5
1407,06514,5
1408,06515,5
1409,06516,5
1410,06517,7
1411,06518,7
1412,06519,2
1413,06520,5
1414,06524,7
1415,06525,7
1416,06530,3
1417,06601,3
1418,06604,2
1419,06605,2
1420,06606,4
1421,06607,3
1422,06608,2
1423,06610,5
1424,06611,7
1425,06612,8
1426,06614,7
1427,06615,5
1428,06702,3
1429,06704,5
1430,06705,5
1431,06706,5
1432,06708,5
1433,06710,5
1434,06712,7
1435,06716,7
1436,06750,7
1437,06751,7
1438,06752,7
1439,06753,7
1440,06754,7
1441,06755,7
1442,06756,7
1443,06757,7
1444,06758,7
1445,06759,7
1446,06762,7
1447,06770,5
1448,06776,6
1449,06778,7
1450,06779,6
1451,06782,6
1452,06783,8
1453,06784,7
1454,06786,6
1455,06787,6
1456,06790,5
1457,06791,7
1458,06794,7
1459,06795,7
1460,06798,7
1461,06801,7
1462,06804,7
1463,06807,8
1464,06810,4
1465,06811,7
1466,06812,7
1467,06813,8
1468,06820,8
1469,06824,8
1470,06825,7
1471,06829,8
1472,06830,8
1473,06831,8
1474,06836,8
1475,06838,8
1476,06840,8
1477,06850,8
1478,06851,8
1479,06852,4
1480,06853,8
1481,06854,4
1482,06855,8
1483,06856,4
1484,06870,8
1485,06877,8
1486,06878,8
1487,06880,8
1488,06881,8
1489,06883,8
1490,06890,8
1491,06896,8
1492,06897,8
1493,06901,4
1494,06902,4
1495,06903,8
1496,06904,4
1497,06905,7
1498,06906,4
1499,06907,8
1500,06911,4
1501,07001,8
1502,07002,4
1503,07003,8
1504,07004,7
1505,07005,8
1506,07006,7
1507,07007,7
1508,07008,8
1509,07009,7
1510,07010,4
1511,07011,4
1512,07012,8
1513,07013,8
1514,07014,8
1515,07015,4
1516,07016,7
1517,07017,3
1518,07018,3
1519,07019,4
1520,07020,4
1521,07021,8
1522,07022,4
1523,07023,7
1524,07024,4
1525,07026,8
1526,07027,8
1527,07028,8
1528,07029,4
1529,07030,4
1530,07031,8
1531,07032,4
1532,07033,8
1533,07034,8
1534,07035,8
1535,07036,8
1536,07039,8
1537,07040,8
1538,07041,8
1539,07042,5
1540,07043,8
1541,07044,7
1542,07045,8
1543,07046,8
1544,07047,4
1545,07050,3
1546,07051,2
1547,07052,8
1548,07054,8
1549,07055,2
1550,07057,8
1551,07058,8
1552,07059,8
1553,07060,4
1554,07061,2
1555,07062,3
1556,07063,4
1557,07064,8
1558,07065,8
1559,07066,8
1560,07067,8
1561,07068,8
1562,07069,8
1563,07070,8
1564,07071,8
1565,07072,8
1566,07073,4
1567,07074,1
1568,07075,8
1569,07076,7
1570,07077,8
1571,07078,8
1572,07079,8
1573,07080,8
1574,07081,8
1575,07082,8
1576,07083,8
1577,07086,4
1578,07087,4
1579,07088,3
1580,07090,8
1581,07091,8
1582,07092,7
1583,07093,4
1584,07094,8
1585,07095,8
1586,07096,4
1587,07101,4
1588,07102,3
1589,07103,3
1590,07104,2
1591,07105,4
1592,07106,3
1593,07107,2
1594,07108,3
1595,07109,8
1596,07110,8
1597,07111,3
1598,07112,3
